Entity,Code,Year,suicide rate
France,FRA,1950,13.15992
France,FRA,1952,13.29235
France,FRA,1953,13.18141
France,FRA,1954,13.92929
France,FRA,1955,13.75461
France,FRA,1956,14.98917
France,FRA,1957,14.17177
France,FRA,1958,14.28547
France,FRA,1959,14.60973
France,FRA,1960,13.82906
France,FRA,1961,13.91007
France,FRA,1962,13.27934
France,FRA,1963,13.75892
France,FRA,1964,13.30793
France,FRA,1965,13.53311
France,FRA,1966,14.06569
France,FRA,1967,14.02401
France,FRA,1968,13.76804
France,FRA,1969,13.91817
France,FRA,1970,13.73334
France,FRA,1971,13.65924
France,FRA,1972,14.3131
France,FRA,1973,13.69903
France,FRA,1974,13.84374
France,FRA,1975,13.91132
France,FRA,1976,13.94507
France,FRA,1977,14.55289
France,FRA,1978,15.10253
France,FRA,1979,16.34446
France,FRA,1980,16.85985
France,FRA,1981,16.98194
France,FRA,1982,17.992
France,FRA,1983,18.64797
France,FRA,1984,18.86752
France,FRA,1985,19.29249
France,FRA,1986,19.4723
France,FRA,1987,18.48448
France,FRA,1988,17.51214
France,FRA,1989,17.50628
France,FRA,1990,16.83448
France,FRA,1991,16.87893
France,FRA,1992,16.98829
France,FRA,1993,17.85212
France,FRA,1994,17.36844
France,FRA,1995,16.79073
France,FRA,1996,15.99484
France,FRA,1997,15.63212
France,FRA,1998,14.81209
France,FRA,1999,14.38218
France,FRA,2000,14.99261
France,FRA,2001,14.45022
France,FRA,2002,14.59405
France,FRA,2003,14.75186
France,FRA,2004,14.49824
France,FRA,2005,14.09153
