Entity,Code,Year,suicide rate
Italy,ITA,1951,6.741952
Italy,ITA,1952,6.215577
Italy,ITA,1953,6.314083
Italy,ITA,1954,5.898098
Italy,ITA,1955,6.432989
Italy,ITA,1956,6.47865
Italy,ITA,1957,6.252029
Italy,ITA,1958,5.940865
Italy,ITA,1959,5.978304
Italy,ITA,1960,5.758146
Italy,ITA,1961,5.20988
Italy,ITA,1962,5.077321
Italy,ITA,1963,4.884308
Italy,ITA,1964,5.01984
Italy,ITA,1965,5.080476
Italy,ITA,1966,4.755507
Italy,ITA,1967,5.072762
Italy,ITA,1968,4.909084
Italy,ITA,1969,5.000934
Italy,ITA,1970,5.186391
Italy,ITA,1971,5.396069
Italy,ITA,1972,5.260768
Italy,ITA,1973,5.075356
Italy,ITA,1974,4.742774
Italy,ITA,1975,4.90521
Italy,ITA,1976,4.944437
Italy,ITA,1977,5.444005
Italy,ITA,1978,5.600551
Italy,ITA,1979,6.052142
Italy,ITA,1980,6.204662
Italy,ITA,1981,5.824463
Italy,ITA,1982,6.243677
Italy,ITA,1983,6.257329
Italy,ITA,1984,6.417727
Italy,ITA,1985,6.722367
Italy,ITA,1986,6.587619
Italy,ITA,1987,6.28534
Italy,ITA,1988,6.018995
Italy,ITA,1989,5.983258
Italy,ITA,1990,5.978657
Italy,ITA,1991,6.046276
Italy,ITA,1992,6.24772
Italy,ITA,1993,6.412189
Italy,ITA,1994,6.182798
Italy,ITA,1995,6.157893
Italy,ITA,1996,6.348938
Italy,ITA,1997,6.265896
Italy,ITA,1998,5.947945
Italy,ITA,1999,5.439456
Italy,ITA,2000,5.431369
Italy,ITA,2001,5.298044
Italy,ITA,2002,5.34118
Italy,ITA,2003,5.234479
Italy,ITA,2004,5.31370163
Italy,ITA,2005,4.930044509
